,route_id,average_speed,month_year
65,B41,7.3062625,05/2021
66,B41,6.853291,06/2021
67,B41,6.5713167,06/2021
68,B41,7.101364,06/2021
69,B41,7.0826645,06/2021
70,B41,6.9192743,07/2021
71,B41,6.678844,07/2021
72,B41,7.488783,07/2021
73,B41,7.4081655,07/2021
74,B41,6.89836,08/2021
75,B41,6.6867404,08/2021
76,B41,7.43857,08/2021
77,B41,7.3735704,08/2021
78,B41,6.7008605,09/2021
79,B41,6.319533,09/2021
80,B41,7.086748,09/2021
81,B41,6.959797,09/2021
82,B41,6.7256618,10/2021
83,B41,6.182812,10/2021
84,B41,7.2064757,10/2021
85,B41,7.0168734,10/2021
86,B41,6.80049,11/2021
87,B41,6.245494,11/2021
88,B41,7.4507504,11/2021
89,B41,7.2311273,11/2021
90,B41,6.8411374,12/2021
91,B41,6.4301686,12/2021
92,B41,7.3106594,12/2021
93,B41,7.183194,12/2021
94,B41,7.0632453,01/2022
95,B41,6.4610868,01/2022
96,B41,7.6603403,01/2022
97,B41,7.354206,01/2022
98,B41,6.8235974,02/2022
99,B41,6.2838407,02/2022
100,B41,7.447056,02/2022
101,B41,7.150723,02/2022
102,B41,6.832669,03/2022
103,B41,6.3340507,03/2022
104,B41,7.3933935,03/2022
105,B41,7.2052436,03/2022
106,B41,6.768607,04/2022
107,B41,6.4360867,04/2022
108,B41,7.1779037,04/2022
